ZIP CODE,"LIBRARY DISTRICT 
or COUNTY",CITIES,"PATRON TYPE
(ADULT or MINOR)",GEO CODE,NOTES,SORT
-,Any not listed below,-,Ineligible,"For any ZIP code that does not appear on this sheet, check eligibility for a Special card type first. Otherwise, the person is ineligible for a SLCL library card but may still use many of our services (including attending programs, browsing materials while in a library building, accessing public computers with a guest pass, and more).",,0
63005,St. Louis County,-,Resident,St. Louis County,,1
63011,St. Louis County,-,Resident,St. Louis County,,1
63017,St. Louis County,-,Resident,St. Louis County,,1
63021,St. Louis County,- ,Resident,St. Louis County,,1
63031,St. Louis County,-,Resident,St. Louis County,,1
63033,St. Louis County,-,Resident,St. Louis County,,1
63034,St. Louis County,-,Resident,St. Louis County,,1
63038,St. Louis County,-,Resident,St. Louis County,,1
63040,St. Louis County,-,Resident,St. Louis County,,1
63042,St. Louis County,-,Resident,St. Louis County,,1
63043,St. Louis County,-,Resident,St. Louis County,,1
63044,St. Louis County,-,Resident,St. Louis County,,1
63074,St. Louis County,-,Resident,St. Louis County,,1
63114,St. Louis County,-,Resident,St. Louis County,,1
63126,St. Louis County,-,Resident,St. Louis County,,1
63127,St. Louis County,-,Resident,St. Louis County,,1
63128,St. Louis County,-,Resident,St. Louis County,,1
63129,St. Louis County,-,Resident,St. Louis County,,1
63131,St. Louis County,-,Resident,St. Louis County,,1
63134,St. Louis County,-,Resident,St. Louis County,,1
63140,St. Louis County,-,Resident,St. Louis County,,1
63141,St. Louis County,-,Resident,St. Louis County,,1
63146,St. Louis County,-,Resident,St. Louis County,,1
63121,"St. Louis County or
Ferguson",-,"Resident or
Reciprocal","St. Louis County or
Ferguson",Verify library district through property tax rate information.,2
63135,"St. Louis County or
Ferguson",-,"Resident or
Reciprocal","St. Louis County or
Ferguson",Verify library district through property tax rate information.,2
63025,"St. Louis County or
Jefferson County",Eureka,"Resident or
Reciprocal or
Non-Resident","St. Louis County or
Jefferson County","Verify county through real estate the USPS site will be incorrect. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident.",2
63026,"St. Louis County or
Jefferson County","Fenton, Murphy","Resident or
Reciprocal","St. Louis County or
Jefferson County","Verify county through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident.",2
63049,"St. Louis County or
Jefferson County",High Ridge,"Resident or
Reciprocal","St. Louis County or
Jefferson County","Verify county through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident.",2
63069,"St. Louis County or
Jefferson County or
Franklin County","Pacific, Wildwood","Resident or
Reciprocal or
Non-Resident","St. Louis County or
Jefferson County or
Franklin County","Verify county through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident.",2
63122,"St. Louis County or
Kirkwood",-,"Resident or
Reciprocal","St. Louis County or
Kirkwood",Verify library district through property tax rate information.,2
63124,"St. Louis County or
Richmond Heights or
University City",-,"Resident or
Reciprocal","St. Louis County or
Richmond Heights or
University City",Verify library district through property tax rate information.,2
63120,"St. Louis County or
St. Louis City",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City",Verify county of residence through USPS.,2
63123,"St. Louis County or
St. Louis City",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City",Verify county of residence through USPS.,2
63125,"St. Louis County or
St. Louis City",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City",Verify county of residence through USPS.,2
63136,"St. Louis County or
St. Louis City or
Ferguson",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City or
Ferguson","Verify county of residence through USPS. If located in St. Louis County, verify library district through property tax rate information.",2
63137,"St. Louis County or
St. Louis City",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City","Verify county of residence through USPS. If located in St. Louis County, verify library district through property tax rate information.",2
63138,"St. Louis County or
St. Louis City",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City","Verify county of residence through USPS. If located in St. Louis County, verify library district through property tax rate information.",2
63117,"St. Louis County or
St. Louis City or
Richmond Heights",-,"Resident or
Reciprocal","St. Louis County or
St. Louis City or
Richmond Heights","Verify county of residence through USPS. If located in St. Louis County, verify library district through property tax rate information.",2
