ZIP CODE,"LIBRARY DISTRICT 
or COUNTY",CITIES,"PATRON TYPE
(ADULT or MINOR)",GEO CODE,NOTES
63005,St. Louis County,-,Resident,St. Louis County,
63011,St. Louis County,-,Resident,St. Louis County,
63017,St. Louis County,-,Resident,St. Louis County,
63021,St. Louis County,- ,Resident,St. Louis County,
63031,St. Louis County,-,Resident,St. Louis County,
63033,St. Louis County,-,Resident,St. Louis County,
63034,St. Louis County,-,Resident,St. Louis County,
63038,St. Louis County,-,Resident,St. Louis County,
63040,St. Louis County,-,Resident,St. Louis County,
63042,St. Louis County,-,Resident,St. Louis County,
63043,St. Louis County,-,Resident,St. Louis County,
63044,St. Louis County,-,Resident,St. Louis County,
63074,St. Louis County,-,Resident,St. Louis County,
63114,St. Louis County,-,Resident,St. Louis County,
63126,St. Louis County,-,Resident,St. Louis County,
63127,St. Louis County,-,Resident,St. Louis County,
63128,St. Louis County,-,Resident,St. Louis County,
63129,St. Louis County,-,Resident,St. Louis County,
63131,St. Louis County,-,Resident,St. Louis County,
63134,St. Louis County,-,Resident,St. Louis County,
63140,St. Louis County,-,Resident,St. Louis County,
63141,St. Louis County,-,Resident,St. Louis County,
63146,St. Louis County,-,Resident,St. Louis County,
63121,"St. Louis County or
Ferguson",-,"Resident or
Reciprocal","St. Louis County or
Ferguson",Verify library district through property tax rate information.
63135,"St. Louis County or
Ferguson",-,"Resident or
Reciprocal","St. Louis County or
Ferguson",Verify library district through property tax rate information.
63025,"St. Louis County or
Jefferson County",Eureka,"Resident or
Reciprocal or
Non-Resident","St. Louis County or
Jefferson County","Verify county through real estate the USPS site will be incorrect. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident."
63026,"St. Louis County or
Jefferson County","Fenton, Murphy","Resident or
Reciprocal","St. Louis County or
Jefferson County","Verify county through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a Reciprocal card - otherwise, use Non-Resident."
