,zip code,geo code,patron type
0,63005,['St. Louis County'],['Resident']
1,63011,['St. Louis County'],['Resident']
2,63017,['St. Louis County'],['Resident']
3,63021,['St. Louis County'],['Resident']
4,63031,['St. Louis County'],['Resident']
5,63033,['St. Louis County'],['Resident']
6,63034,['St. Louis County'],['Resident']
7,63038,['St. Louis County'],['Resident']
8,63040,['St. Louis County'],['Resident']
9,63042,['St. Louis County'],['Resident']
10,63043,['St. Louis County'],['Resident']
11,63044,['St. Louis County'],['Resident']
12,63074,['St. Louis County'],['Resident']
13,63114,['St. Louis County'],['Resident']
14,63126,['St. Louis County'],['Resident']
15,63127,['St. Louis County'],['Resident']
16,63128,['St. Louis County'],['Resident']
17,63129,['St. Louis County'],['Resident']
18,63131,['St. Louis County'],['Resident']
19,63134,['St. Louis County'],['Resident']
20,63140,['St. Louis County'],['Resident']
21,63141,['St. Louis County'],['Resident']
22,63146,['St. Louis County'],['Resident']
44,63101,['St. Louis City'],['Reciprocal']
45,63102,['St. Louis City'],['Reciprocal']
46,63103,['St. Louis City'],['Reciprocal']
47,63104,['St. Louis City'],['Reciprocal']
48,63106,['St. Louis City'],['Reciprocal']
49,63107,['St. Louis City'],['Reciprocal']
50,63108,['St. Louis City'],['Reciprocal']
51,63109,['St. Louis City'],['Reciprocal']
52,63110,['St. Louis City'],['Reciprocal']
53,63111,['St. Louis City'],['Reciprocal']
54,63112,['St. Louis City'],['Reciprocal']
55,63113,['St. Louis City'],['Reciprocal']
56,63115,['St. Louis City'],['Reciprocal']
57,63116,['St. Louis City'],['Reciprocal']
58,63118,['St. Louis City'],['Reciprocal']
59,63139,['St. Louis City'],['Reciprocal']
60,63147,['St. Louis City'],['Reciprocal']
62,63144,['Brentwood'],['Reciprocal']
63,63301,['St. Charles'],['Reciprocal']
64,63303,['St. Charles'],['Reciprocal']
65,63304,['St. Charles'],['Reciprocal']
66,63332,['St. Charles'],['Reciprocal']
67,63341,['St. Charles'],['Reciprocal']
68,63348,['St. Charles'],['Reciprocal']
69,63366,['St. Charles'],['Reciprocal']
70,63367,['St. Charles'],['Reciprocal']
71,63368,['St. Charles'],['Reciprocal']
72,63373,['St. Charles'],['Reciprocal']
73,63376,['St. Charles'],['Reciprocal']
74,63385,['St. Charles'],['Reciprocal']
75,63386,['St. Charles'],['Reciprocal']
96,63013,['Franklin County'],['Reciprocal']
97,63015,['Franklin County'],['Reciprocal']
98,63037,['Franklin County'],['Reciprocal']
99,63039,['Franklin County'],['Reciprocal']
100,63041,['Franklin County'],['Reciprocal']
101,63055,['Franklin County'],['Reciprocal']
102,63056,['Franklin County'],['Reciprocal']
103,63060,['Franklin County'],['Reciprocal']
104,63061,['Franklin County'],['Reciprocal']
105,63068,['Franklin County'],['Reciprocal']
106,63072,['Franklin County'],['Reciprocal']
107,63073,['Franklin County'],['Reciprocal']
108,63077,['Warren County'],['Reciprocal']
109,63079,['Franklin County'],['Reciprocal']
110,63080,['Franklin County'],['Reciprocal']
111,63084,['Franklin County'],['Reciprocal']
112,63089,['Franklin County'],['Reciprocal']
116,65036,['Gasconade County'],['Reciprocal']
117,65062,['Gasconade County'],['Reciprocal']
118,63342,['Warren County'],['Reciprocal']
119,63357,['Warren County'],['Reciprocal']
120,63378,['Warren County'],['Reciprocal']
121,63383,['Warren County'],['Reciprocal']
122,63390,['Warren County'],['Reciprocal']
132,63343,['Other MO'],['Non-Resident']
133,63347,['Other MO'],['Non-Resident']
134,63349,['Other MO'],['Non-Resident']
135,63362,['Other MO'],['Non-Resident']
136,63369,['Other MO'],['Non-Resident']
137,63370,['Other MO'],['Non-Resident']
138,63377,['Other MO'],['Non-Resident']
139,63379,['Other MO'],['Non-Resident']
140,63387,['Other MO'],['Non-Resident']
141,63389,['Other MO'],['Non-Resident']
142,62246,['Illinois'],['Non-Resident']
143,62284,['Illinois'],['Non-Resident']
144,62006,['Illinois'],['Non-Resident']
145,62013,['Illinois'],['Non-Resident']
146,62036,['Illinois'],['Non-Resident']
147,62045,['Illinois'],['Non-Resident']
148,62047,['Illinois'],['Non-Resident']
149,62053,['Illinois'],['Non-Resident']
150,62065,['Illinois'],['Non-Resident']
151,62070,['Illinois'],['Non-Resident']
152,62355,['Illinois'],['Non-Resident']
153,62361,['Illinois'],['Non-Resident']
154,62215,['Illinois'],['Non-Resident']
155,62218,['Illinois'],['Non-Resident']
156,62230,['Illinois'],['Non-Resident']
157,62231,['Illinois'],['Non-Resident']
158,62245,['Illinois'],['Non-Resident']
159,62253,['Illinois'],['Non-Resident']
160,62265,['Illinois'],['Non-Resident']
161,62275,['Illinois'],['Non-Resident']
162,62283,['Illinois'],['Non-Resident']
163,62293,['Illinois'],['Non-Resident']
164,62471,['Illinois'],['Non-Resident']
165,62801,['Illinois'],['Non-Resident']
166,62012,['Illinois'],['Non-Resident']
167,62022,['Illinois'],['Non-Resident']
168,62028,['Illinois'],['Non-Resident']
169,62030,['Illinois'],['Non-Resident']
170,62031,['Illinois'],['Non-Resident']
171,62037,['Illinois'],['Non-Resident']
172,62052,['Illinois'],['Non-Resident']
173,62063,['Illinois'],['Non-Resident']
174,62009,['Illinois'],['Non-Resident']
175,62014,['Illinois'],['Non-Resident']
176,62033,['Illinois'],['Non-Resident']
177,62069,['Illinois'],['Non-Resident']
178,62079,['Illinois'],['Non-Resident']
179,62626,['Illinois'],['Non-Resident']
180,62630,['Illinois'],['Non-Resident']
181,62640,['Illinois'],['Non-Resident']
182,62649,['Illinois'],['Non-Resident']
183,62667,['Illinois'],['Non-Resident']
184,62672,['Illinois'],['Non-Resident']
185,62674,['Illinois'],['Non-Resident']
186,62683,['Illinois'],['Non-Resident']
187,62685,['Illinois'],['Non-Resident']
188,62001,['Illinois'],['Non-Resident']
189,62002,['Illinois'],['Non-Resident']
190,62010,['Illinois'],['Non-Resident']
191,62018,['Illinois'],['Non-Resident']
192,62021,['Illinois'],['Non-Resident']
193,62024,['Illinois'],['Non-Resident']
194,62025,['Illinois'],['Non-Resident']
195,62034,['Illinois'],['Non-Resident']
196,62035,['Illinois'],['Non-Resident']
197,62040,['Illinois'],['Non-Resident']
198,62046,['Illinois'],['Non-Resident']
199,62048,['Illinois'],['Non-Resident']
200,62060,['Illinois'],['Non-Resident']
201,62061,['Illinois'],['Non-Resident']
202,62067,['Illinois'],['Non-Resident']
203,62074,['Illinois'],['Non-Resident']
204,62084,['Illinois'],['Non-Resident']
205,62090,['Illinois'],['Non-Resident']
206,62095,['Illinois'],['Non-Resident']
207,62097,['Illinois'],['Non-Resident']
208,62249,['Illinois'],['Non-Resident']
209,62281,['Illinois'],['Non-Resident']
210,62294,['Illinois'],['Non-Resident']
211,62234,['Illinois'],['Non-Resident']
212,62236,['Illinois'],['Non-Resident']
213,62244,['Illinois'],['Non-Resident']
214,62248,['Illinois'],['Non-Resident']
215,62256,['Illinois'],['Non-Resident']
216,62278,['Illinois'],['Non-Resident']
217,62279,['Illinois'],['Non-Resident']
218,62295,['Illinois'],['Non-Resident']
219,62298,['Illinois'],['Non-Resident']
220,62201,['Illinois'],['Non-Resident']
221,62203,['Illinois'],['Non-Resident']
222,62204,['Illinois'],['Non-Resident']
223,62205,['Illinois'],['Non-Resident']
224,62206,['Illinois'],['Non-Resident']
225,62207,['Illinois'],['Non-Resident']
226,62208,['Illinois'],['Non-Resident']
227,62220,['Illinois'],['Non-Resident']
228,62221,['Illinois'],['Non-Resident']
229,62223,['Illinois'],['Non-Resident']
230,62225,['Illinois'],['Non-Resident']
231,62232,['Illinois'],['Non-Resident']
232,62239,['Illinois'],['Non-Resident']
233,62240,['Illinois'],['Non-Resident']
234,62243,['Illinois'],['Non-Resident']
235,62254,['Illinois'],['Non-Resident']
236,62255,['Illinois'],['Non-Resident']
237,62257,['Illinois'],['Non-Resident']
238,62258,['Illinois'],['Non-Resident']
239,62260,['Illinois'],['Non-Resident']
240,62264,['Illinois'],['Non-Resident']
241,62269,['Illinois'],['Non-Resident']
242,62285,['Illinois'],['Non-Resident']
